product_id,related_id
0,47786
129,172
129,14509
129,46091
129,46431
129,46671
132,1052
132,10445
132,46142
132,46169
137,327
137,347
137,46075
137,46076
137,46077
144,157
144,297
144,307
144,317
144,677
144,962
147,152
147,164
147,237
147,659
147,12364
147,46050
147,46052
147,46055
147,46056
147,46058
152,147
152,157
152,164
152,237
152,242
152,1117
152,46055
152,46058
157,144
157,152
157,277
157,292
157,1097
157,46261
164,147
164,152
164,307
164,1097
164,46089
167,12054
167,12066
167,12078
167,12578
167,46060
172,129
172,10449
172,46169
172,46240
172,46598
177,14541
177,14981
177,14991
177,46685
177,48126
182,707
182,832
182,46339
187,12006
187,12034
187,13408
187,14060
187,46180
187,46595
192,777
192,942
192,13958
192,46330
192,46596
192,46597
197,687
197,747
197,1022
197,10957
197,11942
197,45992
197,47616
197,47647
197,47648
197,47651
197,47652
197,47653
197,47654
197,47655
197,47663
197,47704
197,47705
197,47706
197,47707
197,47708
197,47709
197,47710
197,47719
197,47720
197,47721
197,47722
197,47725
197,47731
197,47742
197,47743
197,47744
197,47745
197,47747
197,47749
197,47751
197,47752
197,47758
197,47764
197,47765
197,47766
197,47795
197,47803
202,767
202,772
202,10957
202,46112
202,46331
202,46500
202,46504
207,697
207,702
207,732
207,772
207,10993
207,46330
207,46597
212,702
212,732
212,46028
212,46113
212,46114
212,46327
212,46571
212,47528
212,47601
212,47602
217,697
217,982
217,1097
217,13892
217,13916
222,682
222,722
222,982
222,46195
222,46282
227,11982
227,14226
227,14231
227,14236
234,272
234,347
234,404
234,587
234,1082
234,46234
237,147
237,152
237,417
237,982
237,10445
237,12339
237,14261
237,46056
237,46058
242,152
242,264
242,272
242,307
242,627
242,977
242,12062
242,12074
242,46010
242,46076
242,46366
254,267
254,287
254,12050
257,462
257,10434
257,10457
257,11709
257,46195
257,46273
257,47750
264,242
264,307
264,10945
264,46076
264,46167
267,254
267,287
267,977
267,1082
267,10945
272,234
272,242
272,659
272,46167
277,157
277,1027
277,10441
277,12339
282,1097
282,10425
282,14206
282,14799
282,46230
282,48375
282,48376
282,48390
282,48393
282,48395
287,254
287,267
287,977
287,1097
292,157
292,404
292,13937
292,46169
292,46173
297,144
297,317
297,677
297,1097
297,46078
302,977
302,12488
302,46077
307,144
307,164
307,242
307,264
307,367
307,11001
312,352
312,362
312,687
312,957
317,144
317,297
317,677
317,12488
322,10406
322,10961
322,11001
322,46044
322,47695
327,137
327,677
327,10502
327,46489
332,627
332,46513
337,372
337,822
337,12558
337,13895
337,46025
337,46026
337,46067
337,46335
337,46403
337,48149
342,10470
342,14576
342,46104
347,137
347,234
347,12050
352,312
352,382
352,407
352,45992
352,45993
352,47616
352,47647
352,47648
352,47651
352,47652
352,47653
352,47654
352,47655
352,47663
352,47674
352,47704
352,47705
352,47706
352,47707
352,47708
352,47709
352,47710
352,47719
352,47720
352,47721
352,47722
352,47725
352,47731
352,47742
352,47743
352,47744
352,47745
352,47747
352,47749
352,47751
352,47752
352,47758
352,47764
352,47765
352,47766
352,47795
352,47803
357,622
357,10965
357,46093
357,46367
362,312
362,622
362,932
362,997
362,1012
362,1087
362,46009
362,46084
362,46413
367,307
367,587
367,11986
367,15026
367,46167
367,48375
372,337
372,822
372,1077
372,46067
372,46335
377,617
377,13402
377,46045
377,46082
377,46126
377,46667
382,352
382,407
382,597
382,45993
389,397
389,1097
389,10470
389,13882
397,389
397,10470
397,13882
397,46167
404,234
404,292
404,46234
404,46262
407,352
407,382
407,597
407,747
407,877
407,45993
412,12918
412,12923
412,12963
412,12968
412,13523
412,13558
412,46100
412,46156
417,237
417,422
417,652
417,46263
417,46265
417,46407
422,417
422,652
422,14266
422,46263
422,46265
427,592
427,652
427,12364
427,12374
427,46259
427,46326
427,46341
432,512
432,46102
432,46103
432,46266
437,482
437,487
437,10434
437,11706
437,11709
437,11733
437,11739
437,13961
437,13991
437,45999
437,46136
437,46141
437,46267
437,46270
437,46271
437,46272
437,47750
444,447
444,11745
444,13013
444,46099
444,46157
444,46423
447,444
447,46099
447,46157
447,46268
447,46423
452,467
452,482
452,532
452,547
452,10457
452,46141
462,257
462,487
462,542
462,10434
462,10457
462,11733
462,11739
462,12082
462,12364
462,13961
462,46138
462,46141
462,46182
462,46270
462,46272
462,46273
462,46276
462,47750
462,48390
462,48395
467,452
467,482
467,497
467,537
467,10457
467,46141
467,46182
472,477
472,492
472,502
472,15131
472,46005
472,46275
472,46427
477,472
477,492
477,502
477,13306
477,46175
477,46274
482,437
482,452
482,467
482,532
482,46182
487,437
487,462
487,532
487,10457
487,46282
492,472
492,477
492,502
492,15131
492,46175
492,46414
497,467
497,547
497,45999
497,46276
497,46282
497,48149
502,472
502,477
502,492
502,46024
502,46414
507,532
507,10434
507,46267
507,46273
507,46429
512,432
512,13193
512,46102
512,46103
512,46266
517,522
517,527
517,607
517,632
517,742
517,787
517,797
517,852
517,14261
522,517
522,527
522,607
522,632
522,742
522,797
522,882
522,10449
527,517
527,522
527,607
527,637
527,46095
532,452
532,482
532,487
532,507
532,542
532,10457
532,11706
532,11733
532,11739
532,13961
532,46138
532,46140
532,46182
532,46272
537,467
537,547
537,10434
537,46141
537,46183
537,46282
537,48248
542,462
542,532
542,10457
542,46182
542,46282
547,452
547,497
547,537
547,46139
547,46182
552,562
552,947
552,12893
552,46082
552,46127
552,46342
552,46547
552,46564
557,567
557,617
557,1042
557,1102
557,13402
557,46082
557,46126
557,46667
562,552
562,12893
562,13402
562,46045
562,46082
562,46547
562,46667
567,557
567,46045
567,46126
567,46127
567,46667
572,892
572,922
572,947
