product_option_value_id,product_option_id,product_id,option_id,option_value_id,quantity,subtract,price,price_prefix,points,points_prefix,weight,weight_prefix
54765,47623,48316,361,76,1000,1,1,+,0,+,0,+
54766,47623,48316,361,77,1000,1,1,+,0,+,0,+
54767,47623,48316,361,78,1000,1,1,+,0,+,0,+
54768,47623,48316,361,79,1000,1,1,+,0,+,0,+
54802,47661,46528,361,71,1000,1,0,+,0,+,0,+
54803,47661,46528,361,72,1000,1,0,+,0,+,0,+
54804,47661,46528,361,73,1000,1,0,+,0,+,0,+
54805,47661,46528,361,74,1000,1,0,+,0,+,0,+
54806,47661,46528,361,75,1000,1,1,+,0,+,0,+
54807,47661,46528,361,76,1000,1,1,+,0,+,0,+
54808,47661,46528,361,77,1000,1,1,+,0,+,0,+
54809,47661,46528,361,78,1000,1,1,+,0,+,0,+
54810,47661,46528,361,79,1000,1,1,+,0,+,0,+
55046,47815,48331,2659,349,0,0,0,+,0,+,0,+
55047,47815,48331,2659,350,0,0,10,+,0,+,0,+
55048,47815,48331,2659,351,0,0,25,+,0,+,0,+
55049,47815,48331,2659,352,0,0,45,+,0,+,0,+
55052,47816,48331,2660,355,0,0,0,+,0,+,0,+
55053,47816,48331,2660,356,0,0,0,+,0,+,0,+
55054,47816,48331,2660,357,0,0,10,+,0,+,0,+
55055,47816,48331,2660,358,0,0,10,+,0,+,0,+
55056,47816,48331,2660,359,0,0,10,+,0,+,0,+
55057,47816,48331,2660,360,0,0,10,+,0,+,0,+
55077,47839,47705,361,79,1000,0,1,+,0,+,1,+
55078,47839,47705,361,77,1000,0,1,+,0,+,1,+
55079,47839,47705,361,75,1000,0,1,+,0,+,1,+
55080,47839,47705,361,76,1000,0,1,+,0,+,1,+
55081,47839,47705,361,74,1000,0,0,+,0,+,1,+
55082,47839,47705,361,73,1000,0,0,+,0,+,1,+
55083,47839,47705,361,72,1000,0,0,+,0,+,1,+
55084,47839,47705,361,71,1000,0,0,+,0,+,1,+
55085,47839,47705,361,78,1000,0,1,+,0,+,1,+
55165,47894,45992,361,79,1000,0,1,+,0,+,1,+
55166,47894,45992,361,77,1000,0,1,+,0,+,1,+
55167,47894,45992,361,75,1000,0,1,+,0,+,1,+
55168,47894,45992,361,76,1000,0,1,+,0,+,1,+
55169,47894,45992,361,74,1000,0,0,+,0,+,1,+
55170,47894,45992,361,73,1000,0,0,+,0,+,1,+
55171,47894,45992,361,72,1000,0,0,+,0,+,1,+
55172,47894,45992,361,71,1000,0,0,+,0,+,1,+
55173,47894,45992,361,78,1000,0,1,+,0,+,1,+
55174,47898,45993,361,79,1000,0,1,+,0,+,1,+
55175,47898,45993,361,77,1000,0,1,+,0,+,1,+
55176,47898,45993,361,75,1000,0,1,+,0,+,1,+
55177,47898,45993,361,76,1000,0,1,+,0,+,1,+
55178,47898,45993,361,74,1000,0,0,+,0,+,1,+
55179,47898,45993,361,73,1000,0,0,+,0,+,1,+
55180,47898,45993,361,72,1000,0,0,+,0,+,1,+
55181,47898,45993,361,71,1000,0,0,+,0,+,1,+
55182,47898,45993,361,78,1000,0,1,+,0,+,1,+
55210,47921,45994,361,79,1000,1,1,+,0,+,1,+
55211,47921,45994,361,77,1000,0,1,+,0,+,1,+
55212,47921,45994,361,75,1000,0,1,+,0,+,1,+
55213,47921,45994,361,76,1000,0,1,+,0,+,1,+
55214,47921,45994,361,74,1000,0,0,+,0,+,1,+
55215,47921,45994,361,73,1000,0,0,+,0,+,1,+
55216,47921,45994,361,72,1000,0,0,+,0,+,1,+
55217,47921,45994,361,71,1000,0,0,+,0,+,1,+
55218,47921,45994,361,78,1000,1,1,+,0,+,1,+
55237,47935,47790,13,319,0,0,69,+,0,+,0,+
55238,47935,47790,13,324,1000,0,2,+,0,+,1,+
55239,47935,47790,13,63,1000,0,5,+,0,+,2,+
55240,47935,47790,13,325,1000,0,10,+,0,+,2,+
55241,47935,47790,13,425,1000,0,0,+,0,+,0,+
55242,47935,47790,13,201,1000,0,45,+,0,+,0,+
55243,47935,47790,13,197,1000,0,50,+,0,+,0,+
55278,47957,48081,13,425,0,0,0,+,0,+,0,+
55279,47957,48081,13,201,0,0,47,+,0,+,0,+
55291,47966,48332,2659,349,0,0,0,+,0,+,0,+
55292,47966,48332,2659,350,0,0,10,+,0,+,0,+
55293,47966,48332,2659,351,0,0,25,+,0,+,0,+
55294,47966,48332,2659,352,0,0,45,+,0,+,0,+
55297,47967,48332,2660,355,0,0,0,+,0,+,0,+
55298,47967,48332,2660,356,0,0,0,+,0,+,0,+
55299,47967,48332,2660,357,0,0,10,+,0,+,0,+
55300,47967,48332,2660,358,0,0,10,+,0,+,0,+
55301,47967,48332,2660,359,0,0,10,+,0,+,0,+
55302,47967,48332,2660,360,0,0,10,+,0,+,0,+
55349,48001,47670,13,319,0,0,59.99,+,0,+,0,+
55350,48001,47670,13,62,1000,0,0,+,0,+,1,+
55351,48001,47670,13,63,1000,0,6,+,0,+,2,+
55352,48001,47670,13,64,1000,0,14,+,0,+,2,+
55394,48038,45996,361,79,1000,0,1,+,0,+,1,+
55395,48038,45996,361,77,1000,0,1,+,0,+,1,+
55396,48038,45996,361,75,1000,0,1,+,0,+,1,+
55397,48038,45996,361,76,1000,0,1,+,0,+,1,+
55398,48038,45996,361,74,1000,0,0,+,0,+,1,+
55399,48038,45996,361,73,1000,0,0,+,0,+,1,+
55400,48038,45996,361,72,1000,0,0,+,0,+,1,+
55401,48038,45996,361,71,1000,0,0,+,0,+,1,+
55402,48038,45996,361,78,1000,0,1,+,0,+,1,+
55439,48065,45995,361,79,1000,0,1,+,0,+,1,+
55440,48065,45995,361,77,1000,0,1,+,0,+,1,+
55441,48065,45995,361,75,1000,0,1,+,0,+,1,+
55442,48065,45995,361,76,1000,0,1,+,0,+,1,+
