product_id,category_id
867,178
11970,178
11978,178
11982,178
12010,178
12014,178
12018,178
12022,178
12038,178
12042,178
12046,178
47796,178
48056,178
15053,179
15068,179
46806,179
46807,179
46808,179
46809,179
46810,179
46811,179
46812,179
46813,179
46814,179
46815,179
46816,179
48261,179
11009,201
11089,201
11246,201
11938,201
12853,201
12973,201
13018,201
13023,201
13033,201
13285,201
46154,201
46186,201
46378,201
46954,201
46955,201
46962,201
47511,201
47612,201
47790,201
48033,201
48052,201
48202,201
46702,202
47566,202
47576,202
47579,202
47584,202
47590,202
47637,202
47638,202
47674,202
47679,202
10498,203
10502,203
10506,203
10510,203
11871,203
11877,203
11880,203
11883,203
12550,203
13199,203
13202,203
13874,203
14529,203
14532,203
14533,203
14541,203
46506,203
46690,203
46691,203
10613,204
10617,204
11838,204
11841,204
11844,204
11847,204
11850,204
11853,204
11856,204
11859,204
11862,204
11865,204
11868,204
12524,204
12590,204
13273,204
13336,204
13413,204
13517,204
13537,204
13543,204
13552,204
13553,204
13862,204
13964,204
13967,204
13970,204
13973,204
14521,204
14536,204
14542,204
14601,204
14646,204
14655,204
14661,204
14666,204
14702,204
14707,204
14793,204
14804,204
14854,204
14938,204
46455,204
46514,204
46515,204
46546,204
46552,204
46553,204
46566,204
46568,204
46842,204
46895,204
46932,204
46943,204
10578,205
11706,205
11709,205
11718,205
11721,205
11727,205
11733,205
11736,205
11739,205
11742,205
11745,205
11757,205
11826,205
12461,205
12465,205
12469,205
12480,205
12488,205
12558,205
12574,205
12578,205
12583,205
12595,205
13193,205
13223,205
13228,205
13233,205
13242,205
13248,205
13253,205
13263,205
13287,205
13292,205
13297,205
13306,205
13307,205
13312,205
13317,205
13322,205
13327,205
13337,205
13342,205
13347,205
13352,205
13357,205
13362,205
13367,205
13378,205
13383,205
13388,205
13402,205
13403,205
13413,205
13422,205
13423,205
13428,205
13433,205
13463,205
13468,205
13473,205
13502,205
13507,205
13508,205
13518,205
13523,205
13528,205
13558,205
13859,205
13865,205
13868,205
13871,205
13878,205
13882,205
13883,205
13886,205
13892,205
13895,205
13907,205
13913,205
13919,205
13928,205
13931,205
13937,205
13940,205
13943,205
13949,205
13955,205
13961,205
13976,205
13985,205
13988,205
13994,205
14000,205
14404,205
14418,205
14434,205
14509,205
14512,205
14515,205
14518,205
14545,205
14551,205
14570,205
14571,205
14576,205
14591,205
14611,205
14621,205
14626,205
14631,205
14636,205
14641,205
14656,205
14671,205
14692,205
14697,205
14727,205
14732,205
14759,205
14765,205
14781,205
14799,205
14809,205
14824,205
14859,205
14864,205
14869,205
14884,205
14889,205
14899,205
14905,205
14911,205
14925,205
14951,205
14966,205
14971,205
46448,205
46449,205
46450,205
46451,205
46456,205
46479,205
46480,205
46481,205
46482,205
46558,205
46559,205
46560,205
46567,205
48074,205
10490,206
10578,206
10590,206
10594,206
10609,206
10618,206
11822,206
11823,206
11826,206
11829,206
11832,206
11835,206
12477,206
12566,206
13205,206
13543,206
13889,206
13910,206
13949,206
13952,206
13955,206
14606,206
14921,206
48111,206
48112,206
48170,206
11712,207
11721,207
11750,207
11751,207
12457,207
12473,207
13483,207
13493,207
13538,207
13898,207
13979,207
14818,207
14829,207
14930,207
46543,207
46562,207
46580,207
46581,207
46587,207
129,215
132,215
137,215
144,215
147,215
152,215
157,215
164,215
167,215
172,215
234,215
237,215
242,215
254,215
257,215
264,215
267,215
272,215
277,215
282,215
287,215
292,215
297,215
