product_image_id,product_id,image,sort_order,is_compress
88357,47709,catalog/products/big-sister-and-little-mister-shirts-sibling-shirts-big-sister-shirt-little-mister-statement-tees-custom-printed-shirt-a55318.jpg,0,0
88358,47709,catalog/products/big-sister-and-little-mister-shirts-sibling-shirts-big-sister-shirt-little-mister-statement-tees-custom-printed-shirt-a55319.jpg,1,0
88359,47709,catalog/products/big-sister-and-little-mister-shirts-sibling-shirts-big-sister-shirt-little-mister-statement-tees-custom-printed-shirt-a55320.jpg,2,0
88360,47709,catalog/products/big-sister-and-little-mister-shirts-sibling-shirts-big-sister-shirt-little-mister-statement-tees-custom-printed-shirt-a55321.jpg,3,0
88361,47709,catalog/products/big-sister-and-little-mister-shirts-sibling-shirts-big-sister-shirt-little-mister-statement-tees-custom-printed-shirt-a55322.jpg,4,0
88362,47709,catalog/products/big-sister-and-little-mister-shirts-sibling-shirts-big-sister-shirt-little-mister-statement-tees-custom-printed-shirt-a55323.jpg,5,0
88363,47710,catalog/products/big-sister-little-mister-shirts-set-sibling-shirts-big-sister-shirt-custom-shirt-statement-tees-custom-printed-shirt-a55324.jpg,0,0
88364,47710,catalog/products/big-sister-little-mister-shirts-set-sibling-shirts-big-sister-shirt-custom-shirt-statement-tees-custom-printed-shirt-a55325.jpg,1,0
88365,47710,catalog/products/big-sister-little-mister-shirts-set-sibling-shirts-big-sister-shirt-custom-shirt-statement-tees-custom-printed-shirt-a55326.jpg,2,0
88366,47710,catalog/products/big-sister-little-mister-shirts-set-sibling-shirts-big-sister-shirt-custom-shirt-statement-tees-custom-printed-shirt-a55327.jpg,3,0
88367,47710,catalog/products/big-sister-little-mister-shirts-set-sibling-shirts-big-sister-shirt-custom-shirt-statement-tees-custom-printed-shirt-a55328.jpg,4,0
88368,47710,catalog/products/big-sister-little-mister-shirts-set-sibling-shirts-big-sister-shirt-custom-shirt-statement-tees-custom-printed-shirt-a55329.jpg,5,0
88369,47795,catalog/products/big-sombrero-shirt-sombrero-custom-cinco-de-mayo-party-fiesta-party-tshirt-fiesta-party-outfit-custom-cinco-de-mayo-party-shirt-mexican-fiesta-t-shirt-fiesta-like-there-no-manana-a55330.jpg,0,0
88370,47795,catalog/products/big-sombrero-shirt-sombrero-custom-cinco-de-mayo-party-fiesta-party-tshirt-fiesta-party-outfit-custom-cinco-de-mayo-party-shirt-mexican-fiesta-t-shirt-fiesta-like-there-no-manana-a55331.jpg,1,0
88371,47795,catalog/products/big-sombrero-shirt-sombrero-custom-cinco-de-mayo-party-fiesta-party-tshirt-fiesta-party-outfit-custom-cinco-de-mayo-party-shirt-mexican-fiesta-t-shirt-fiesta-like-there-no-manana-a55332.jpg,2,0
88372,47795,catalog/products/big-sombrero-shirt-sombrero-custom-cinco-de-mayo-party-fiesta-party-tshirt-fiesta-party-outfit-custom-cinco-de-mayo-party-shirt-mexican-fiesta-t-shirt-fiesta-like-there-no-manana-a55333.jpg,3,0
88373,47795,catalog/products/big-sombrero-shirt-sombrero-custom-cinco-de-mayo-party-fiesta-party-tshirt-fiesta-party-outfit-custom-cinco-de-mayo-party-shirt-mexican-fiesta-t-shirt-fiesta-like-there-no-manana-a55334.jpg,4,0
