Group,Zip Code,Delivery Time,Package,Price
Alabama Northern,35653,ground,50x38x1 7lb packages huge MOUNTED,23.26
Alabama Northern,35653,3day,50x38x1 7lb packages huge MOUNTED,26.58
Alabama Northern,35653,2nd,50x38x1 7lb packages huge MOUNTED,28.81
Alabama Northern,35653,nextday,50x38x1 7lb packages huge MOUNTED,59.57
Alabama Southern,36401,ground,26x3x3 1lb packages poster,11.48
Alabama Southern,36401,3day,26x3x3 1lb packages poster,13.35
Alabama Southern,36401,2nd,26x3x3 1lb packages poster,14.03
Alabama Southern,36401,nextday,26x3x3 1lb packages poster,27.21
Alabama Southern,36401,ground,36x3x3 3lb packages poster,11.48
Alabama Southern,36401,3day,36x3x3 3lb packages poster,13.35
Alabama Southern,36401,2nd,36x3x3 3lb packages poster,14.03
Alabama Southern,36401,nextday,36x3x3 3lb packages poster,30.80
Alabama Southern,36401,ground,26x27x1 5lb packages small MOUNTED,11.49
Alabama Southern,36401,3day,26x27x1 5lb packages small MOUNTED,13..35
Alabama Southern,36401,2nd,26x27x1 5lb packages small MOUNTED,15.07
Alabama Southern,36401,nextday,26x27x1 5lb packages small MOUNTED,33.81
Alabama Southern,36401,ground,50x38x1 7lb packages huge MOUNTED,24.64
Alabama Southern,36401,3day,50x38x1 7lb packages huge MOUNTED,31.98
Alabama Southern,36401,2nd,50x38x1 7lb packages huge MOUNTED,36.69
Alabama Southern,36401,nextday,50x38x1 7lb packages huge MOUNTED,69.17
Arkansas Eastern,72335,ground,26x3x3 1lb packages poster,11.16
Arkansas Eastern,72335,3day,26x3x3 1lb packages poster,13.03
Arkansas Eastern,72335,2nd,26x3x3 1lb packages poster,13.71
Arkansas Eastern,72335,nextday,26x3x3 1lb packages poster,24.56
Arkansas Eastern,72335,ground,36x3x3 3lb packages poster,11.16
Arkansas Eastern,72335,3day,36x3x3 3lb packages poster,13.03
Arkansas Eastern,72335,2nd,36x3x3 3lb packages poster,13.71
Arkansas Eastern,72335,nextday,36x3x3 3lb packages poster,27.01
Arkansas Eastern,72335,ground,26x27x1 5lb packages small MOUNTED,11.16
Arkansas Eastern,72335,3day,26x27x1 5lb packages small MOUNTED,13.03
Arkansas Eastern,72335,2nd,26x27x1 5lb packages small MOUNTED,13.71
Arkansas Eastern,72335,nextday,26x27x1 5lb packages small MOUNTED,30.61
Arkansas Eastern,72335,ground,50x38x1 7lb packages huge MOUNTED,23.26
Arkansas Eastern,72335,3day,50x38x1 7lb packages huge MOUNTED,26.58
Arkansas Eastern,72335,2nd,50x38x1 7lb packages huge MOUNTED,28.81
Arkansas Eastern,72335,nextday,50x38x1 7lb packages huge MOUNTED,59.57
Arkansas Western,71913,ground,26x3x3 1lb packages poster,9.48
Arkansas Western,71913,3day,26x3x3 1lb packages poster,11.29
Arkansas Western,71913,2nd,26x3x3 1lb packages poster,11.96
Arkansas Western,71913,nextday,26x3x3 1lb packages poster,22.82
Arkansas Western,71913,ground,36x3x3 3lb packages poster,9.49
Arkansas Western,71913,3day,36x3x3 3lb packages poster,11.29
Arkansas Western,71913,2nd,36x3x3 3lb packages poster,11.96
Arkansas Western,71913,nextday,36x3x3 3lb packages poster,25.27
Arkansas Western,71913,ground,26x27x1 5lb packages small MOUNTED,9.48
Arkansas Western,71913,3day,26x27x1 5lb packages small MOUNTED,11.29
Arkansas Western,71913,2nd,26x27x1 5lb packages small MOUNTED,11.97
Arkansas Western,71913,nextday,26x27x1 5lb packages small MOUNTED,28.87
Arkansas Western,71913,ground,50x38x1 7lb packages huge MOUNTED,21.62
Arkansas Western,71913,3day,50x38x1 7lb packages huge MOUNTED,24.82
Arkansas Western,71913,2nd,50x38x1 7lb packages huge MOUNTED,27.05
Arkansas Western,71913,nextday,50x38x1 7lb packages huge MOUNTED,57.82
Connecticut,6260,ground,26x3x3 1lb packages poster,9.49
Connecticut,6260,3day,26x3x3 1lb packages poster,11.29
Connecticut,6260,2nd,26x3x3 1lb packages poster,11.96
Connecticut,6260,nextday,26x3x3 1lb packages poster,25.14
Connecticut,6260,ground,36x3x3 3lb packages poster,9.49
Connecticut,6260,3day,36x3x3 3lb packages poster,11.29
Connecticut,6260,2nd,36x3x3 3lb packages poster,11.97
Connecticut,6260,nextday,36x3x3 3lb packages poster,28.74
Connecticut,6260,ground,26x27x1 5lb packages small MOUNTED,9.48
Connecticut,6260,3day,26x27x1 5lb packages small MOUNTED,11.29
Connecticut,6260,2nd,26x27x1 5lb packages small MOUNTED,13.01
Connecticut,6260,nextday,26x27x1 5lb packages small MOUNTED,31.74
Connecticut,6260,ground,50x38x1 7lb packages huge MOUNTED,22.67
Connecticut,6260,3day,50x38x1 7lb packages huge MOUNTED,29.90
Connecticut,6260,2nd,50x38x1 7lb packages huge MOUNTED,34.61
Connecticut,6260,nextday,50x38x1 7lb packages huge MOUNTED,67.10
Delaware,19971,ground,26x3x3 1lb packages poster,9.49
Delaware,19971,3day,26x3x3 1lb packages poster,11.29
Delaware,19971,2nd,26x3x3 1lb packages poster,11.96
Delaware,19971,nextday,26x3x3 1lb packages poster,25.14
Delaware,19971,ground,36x3x3 3lb packages poster,9.49
Delaware,19971,3day,36x3x3 3lb packages poster,11.29
Delaware,19971,2nd,36x3x3 3lb packages poster,11.97
Delaware,19971,nextday,36x3x3 3lb packages poster,28.74
Delaware,19971,ground,26x27x1 5lb packages small MOUNTED,9.48
Delaware,19971,3day,26x27x1 5lb packages small MOUNTED,11.29
Delaware,19971,2nd,26x27x1 5lb packages small MOUNTED,13.01
